2025-05-28 20:55:26,989 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 20:59:41,257 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 21:02:57,112 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 21:02:57,113 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-28 21:04:25,826 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 21:04:25,827 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-28 21:05:29,327 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 21:05:29,328 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-28 21:08:26,834 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 21:08:26,835 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-28 21:08:37,582 | ERROR | AetherMemory | Token-index 134 utanför vokabulärens gräns (4).
2025-05-28 21:08:37,582 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-28 21:15:47,042 | ERROR | AetherMemory | Token-index 98 utanför vokabulärens gräns (4).
2025-05-28 21:15:47,043 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-28 21:16:31,349 | ERROR | AetherMemory | Token-index 98 utanför vokabulärens gräns (4).
2025-05-28 21:16:31,350 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-28 21:17:07,532 | ERROR | AetherMemory | Token-index 98 utanför vokabulärens gräns (4).
2025-05-28 21:17:07,532 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-28 21:19:56,392 | INFO | AetherMemory | Wikipedia result for 'what´s is the capital of sweden ?': Sweden, formally the Kingdom of Sweden, is a Nordic country located on the Scandinavian Peninsula in...
2025-05-28 21:20:49,167 | ERROR | AetherMemory | Token-index 98 utanför vokabulärens gräns (4).
2025-05-28 21:20:49,167 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-28 21:25:57,784 | ERROR | AetherMemory | Token-index 134 utanför vokabulärens gräns (4).
2025-05-28 21:25:57,784 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-28 21:27:33,342 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 21:27:33,343 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-28 21:30:38,752 | ERROR | AetherMemory | Token-index 98 utanför vokabulärens gräns (4).
2025-05-28 21:30:38,752 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-28 21:35:33,770 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 21:35:33,771 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-28 21:36:40,250 | ERROR | AetherMemory | Token-index 98 utanför vokabulärens gräns (4).
2025-05-28 21:36:40,250 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-28 21:43:40,472 | ERROR | AetherMemory | Token-index 98 utanför vokabulärens gräns (4).
2025-05-28 21:43:40,472 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-28 21:44:28,022 | ERROR | AetherMemory | Token-index 94 utanför vokabulärens gräns (4).
2025-05-28 21:44:28,022 | INFO | AetherMemory | Memory added: 'how do i loop code in C++...'
2025-05-28 21:53:18,186 | ERROR | AetherMemory | Token-index 94 utanför vokabulärens gräns (4).
2025-05-28 21:53:18,187 | INFO | AetherMemory | Memory added: 'how do i loop code in C++...'
2025-05-28 21:58:37,593 | ERROR | AetherMemory | Token-index 94 utanför vokabulärens gräns (4).
2025-05-28 21:58:37,594 | INFO | AetherMemory | Memory added: 'how do i loop code in C++...'
2025-05-28 22:03:36,925 | ERROR | AetherMemory | Token-index 98 utanför vokabulärens gräns (4).
2025-05-28 22:03:36,926 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-28 22:08:19,408 | ERROR | AetherMemory | Token-index 134 utanför vokabulärens gräns (4).
2025-05-28 22:08:19,408 | INFO | AetherMemory | Memory added: 'wahts your name...'
2025-05-28 22:09:22,406 | ERROR | AetherMemory | Token-index 134 utanför vokabulärens gräns (4).
2025-05-28 22:09:22,406 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-28 22:14:42,120 | ERROR | AetherMemory | Token-index 134 utanför vokabulärens gräns (4).
2025-05-28 22:14:42,121 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-28 22:15:41,649 | ERROR | AetherMemory | Token-index 98 utanför vokabulärens gräns (4).
2025-05-28 22:15:41,649 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-28 22:17:56,060 | ERROR | AetherMemory | Token-index 134 utanför vokabulärens gräns (4).
2025-05-28 22:17:56,061 | INFO | AetherMemory | Memory added: 'wahts your name...'
2025-05-28 22:20:30,808 | ERROR | AetherMemory | Token-index 134 utanför vokabulärens gräns (4).
2025-05-28 22:20:30,808 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-28 22:24:21,591 | ERROR | AetherMemory | Token-index 154 utanför vokabulärens gräns (4).
2025-05-28 22:24:21,592 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-28 22:25:10,351 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 22:25:10,351 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-28 22:33:00,151 | ERROR | AetherMemory | Token-index 154 utanför vokabulärens gräns (4).
2025-05-28 22:33:00,152 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-28 23:06:26,195 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 23:06:26,195 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-28 23:10:32,669 | ERROR | AetherMemory | Token-index 154 utanför vokabulärens gräns (4).
2025-05-28 23:10:32,669 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-28 23:12:00,911 | ERROR | AetherMemory | Token-index 154 utanför vokabulärens gräns (4).
2025-05-28 23:12:00,911 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-28 23:24:59,114 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 23:24:59,114 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-28 23:25:06,148 | ERROR | AetherMemory | Token-index 154 utanför vokabulärens gräns (4).
2025-05-28 23:25:06,148 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-28 23:29:23,019 | ERROR | AetherMemory | Token-index 71 utanför vokabulärens gräns (4).
2025-05-28 23:29:23,019 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-28 23:45:09,383 | ERROR | AetherMemory | Token-index 159 utanför vokabulärens gräns (4).
2025-05-28 23:45:09,383 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-28 23:49:02,158 | ERROR | AetherMemory | Token-index 154 utanför vokabulärens gräns (4).
2025-05-28 23:49:02,159 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-29 00:09:09,046 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-29 00:10:42,127 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-29 02:26:18,187 | ERROR | AetherMemory | Token-index 166 utanför vokabulärens gräns (166).
2025-05-29 02:26:18,187 | INFO | AetherMemory | Memory added: 'exit...'
2025-05-29 02:27:10,341 | INFO | AetherMemory | Memory added: 'hi...'
2025-05-29 02:27:36,101 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-29 02:29:14,631 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-29 02:29:33,162 | ERROR | AetherMemory | Token-index 168 utanför vokabulärens gräns (167).
2025-05-29 02:29:33,162 | INFO | AetherMemory | Memory added: 'it a town...'
2025-05-29 02:29:57,384 | ERROR | AetherMemory | Token-index 169 utanför vokabulärens gräns (167).
2025-05-29 02:29:57,384 | INFO | AetherMemory | Memory added: 'its a town...'
2025-05-29 02:31:02,063 | INFO | AetherMemory | Memory added: 'its a town...'
2025-05-29 02:32:15,268 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-29 02:35:53,315 | ERROR | AetherMemory | Token-index 174 utanför vokabulärens gräns (170).
2025-05-29 02:35:53,315 | INFO | AetherMemory | Memory added: 'how do i loop code in C++...'
2025-05-29 02:37:01,182 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-29 02:37:09,193 | INFO | AetherMemory | Memory added: 'how do i loop code in C++...'
2025-05-29 02:37:25,343 | INFO | AetherMemory | Memory added: 'whats your name ?...'
2025-05-29 02:37:36,821 | ERROR | AetherMemory | Token-index 175 utanför vokabulärens gräns (175).
2025-05-29 02:37:36,821 | INFO | AetherMemory | Memory added: 'my name is O...'
2025-05-29 02:49:42,075 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-29 02:57:05,543 | INFO | AetherMemory | Memory added: 'what´s is the capital of sweden ?...'
2025-05-29 02:57:17,049 | ERROR | AetherMemory | Token-index 176 utanför vokabulärens gräns (176).
2025-05-29 02:57:17,050 | INFO | AetherMemory | Memory added: 'its a big town...'
