2025-05-28 18:07:55,029 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 18:07:55,411 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 18:09:37,816 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK>
2025-05-28 18:09:37,816 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK>
2025-05-28 18:09:38,666 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK>
2025-05-28 18:09:38,666 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK>
2025-05-28 18:51:19,315 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 18:51:19,723 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 18:52:00,130 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 18:52:00,521 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 18:52:17,573 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK>
2025-05-28 18:52:17,574 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK>
2025-05-28 18:52:18,541 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK>
2025-05-28 18:52:18,541 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK>
2025-05-28 18:56:43,880 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 18:56:44,284 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 18:58:26,558 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 18:58:26,939 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 18:59:59,633 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 19:00:00,038 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
